name,JavaScript,Python,SQL,TypeScript,Java,C#,C++
dev_00001,1,1,0,1,1,0,0
dev_00002,0,0,0,0,0,1,0
dev_00003,1,1,1,1,1,0,1
dev_00004,1,1,0,0,0,0,1
dev_00005,1,1,0,1,1,0,0
dev_00006,1,0,0,1,0,0,0
dev_00007,1,0,0,1,0,0,0
dev_00008,1,1,0,0,0,0,0
dev_00009,1,0,1,1,1,1,1
dev_00010,1,0,0,0,0,1,0
dev_00011,0,1,0,0,0,0,0
dev_00012,0,0,0,0,0,0,1
dev_00013,1,0,1,1,0,1,0
dev_00014,0,0,0,1,0,0,0
dev_00015,1,0,0,1,0,0,0
dev_00016,1,1,1,0,0,1,0
dev_00017,0,0,1,0,0,0,0
dev_00018,0,1,1,0,0,0,0
dev_00019,0,0,1,0,1,1,0
dev_00020,1,0,1,0,0,1,0
dev_00021,1,1,1,0,0,0,0
dev_00022,1,0,1,0,1,0,0
dev_00023,1,1,1,0,1,1,0
dev_00024,1,1,1,0,0,1,0
dev_00025,0,0,0,1,0,0,0
dev_00026,1,1,1,0,0,1,0
dev_00027,1,0,1,0,0,1,0
dev_00028,1,1,0,1,1,0,0
dev_00029,0,1,1,0,0,0,0
dev_00030,1,0,1,1,0,0,0
dev_00031,0,1,0,0,0,0,0
dev_00032,1,1,1,1,1,0,1
dev_00033,0,1,1,0,0,1,1
dev_00034,0,0,1,0,1,1,0
dev_00035,0,1,0,0,0,0,0
dev_00036,1,1,1,1,0,0,0
dev_00037,1,1,1,1,1,0,0
dev_00038,1,0,1,0,0,0,0
dev_00039,0,1,0,0,0,0,1
dev_00040,1,1,0,1,0,0,0
dev_00041,1,1,1,0,0,1,1
dev_00042,1,0,1,1,0,1,0
dev_00043,0,1,1,0,0,1,0
dev_00044,0,0,0,0,0,0,1
dev_00045,0,0,1,0,0,0,0
dev_00046,1,0,1,0,1,0,0
dev_00047,1,1,0,0,1,1,0
dev_00048,1,1,1,1,0,1,0
dev_00049,1,0,1,1,1,0,0
dev_00050,1,0,1,0,0,1,0
dev_00051,1,1,1,1,0,0,1
dev_00052,0,1,1,0,0,0,0
